 
Objective function 95.64411
 
/
'R1   '    95.64411
'R2   '     0.00000
'R3   '     0.00000
'R4   '    29.48440
'R5   '     0.00000
'R6   '     0.00000
'R7   '     0.00000
'R8   '    -0.11477
'R9   '   450.73360
'R10  '   1.0000E+3
'R11  '   -1.000E+3
'R12  '   -64.55944
'R13  '   -1.000E+3
'R14  '   -40.77863
'R15  '   -1.000E+3
'R16  '   1.0000E+3
'R17  '   -6.196E+2
'R18  '    80.47007
'R19  '   771.94133
'R20  '    33.08605
'R21  '   885.23876
'R22  '   1.0000E+3
'R23  '     0.00000
'R24  '   -1.000E+3
'R25  '   1.0000E+3
'R26  '   114.76124
'R27  '   1.0000E+3
'R28  '     0.00000
'R29  '     0.00000
'R30  '     0.00000
'R31  '     0.00000
'R32  '   1.0000E+3
'R33  '    -6.11166
'R34  '   1.0000E+3
'R35  '   -1.000E+3
'R36  '    44.55377
'R37  '   1.0000E+3
'R38  '    -2.00853
'R39  '    -4.30398
'R40  '    -8.61753
'R41  '    -3.91184
'R42  '    -2.40067
'R43  '   634.00679
'R44  '    -6.10209
'R45  '   -96.67908
'R46  '   -1.000E+3
'R47  '    -1.14773
'R48  '   -6.416E+2
'R49  '    42.94792
'R50  '     0.00000
'R51  '     0.00000
'R52  '     0.00000
'R53  '     0.00000
'R54  '     0.00000
'R55  '     0.00000
'R56  '     0.00000
'R57  '     0.00000
'R58  '     0.00000
'R59  '     0.00000
'R60  '     0.00000
'R61  '     0.00000
'R62  '     0.00000
'R63  '     0.00000
'R64  '     0.00000
'R65  '     0.00000
'R66  '     0.00000
'R67  '     0.00000
'R68  '     0.00000
'R69  '     0.00000
'R70  '     0.00000
'R71  '     0.00000
'R72  '     0.00000
'R73  '     0.00000
'R74  '     0.00000
'R75  '     0.00000
'R76  '     0.00000
'R77  '     0.00000
'R78  '     0.00000
'R79  '     0.00000
'R80  '     0.00000
'R81  '     0.00000
'R82  '     0.00000
'R83  '     0.00000
'R84  '     0.00000
'R85  '     0.00000
'R86  '   -4.507E+2
'R87  '   -1.000E+3
'R88  '   1.0000E+3
'R89  '    64.55944
'R90  '   1.0000E+3
'R91  '    40.77863
'R92  '   1.0000E+3
'R93  '   -1.000E+3
'R94  '   619.56107
'R95  '   -80.47007
'R96  '   -33.08605
'R97  '   -7.719E+2
'R98  '   -8.852E+2
'R99  '   -1.000E+3
'R100 '     0.00000
'R101 '   1.0000E+3
'R102 '   1.0000E+3
'R103 '   114.76124
'R104 '   1.0000E+3
